opensubtitle_movie_complete_title,imdb_movie_complete_title,year,index_idmovie,votes,rating,country,genre,movie_script_txt_file_name,movie_id_boxoffice_clean_data,studio,total_gross,total_theatres,opening,opening_theatres,open_date,running_time
Home Run,Home Run (2013),2013,157187,2496,6,USA,Sport,2013_157187.txt,7141,Gold.,"$2,861,020 ",381,"$1,582,466 ",381,4/19/13,113
We Steal Secrets: The Story of WikiLeaks,We Steal Secrets: The Story of WikiLeaks (2013),2013,153394,6475,6.9,USA,Documentary,2013_153394.txt,4037,Focus,"$166,243 ",25,"$27,689 ",4,5/24/13,130
Stoker,Stoker (2013),2013,147849,87481,6.8,USA,Thriller,2013_147849.txt,7206,FoxS,"$1,714,221 ",275,"$160,547 ",7,3/1/13,99
The Big Wedding,The Big Wedding (2013),2013,136929,38854,5.6,USA,Comedy,2013_136929.txt,3626,LGF,"$21,819,348 ","2,633","$7,591,663 ","2,633",4/26/13,89
I Spit on Your Grave 2,I Spit on Your Grave 2 (2013),2013,157991,19714,5.7,USA,Thriller,2013_157991.txt,15276,Anch.,$809 ,1,$441 ,1,9/20/13,106
Nothing Left to Fear,Nothing Left to Fear (2013),2013,159067,4084,4.4,USA,Horror,2013_159067.txt,6139,Anch.,"$7,886 ",5,"$7,886 ",5,10/4/13,100
Beautiful Creatures,Beautiful Creatures (2013),2013,147802,70414,6.2,USA,Romance,2013_147802.txt,4791,Focus,"$55,835 ",12,"$9,134 ",7,4/6/01,124
"Bless Me, Ultima","Bless Me, Ultima (2013)",2013,158551,1075,6.5,USA,War,2013_158551.txt,3511,Aren,"$1,553,826 ",263,"$470,109 ",263,2/22/13,106
D-Day,dday (2013),2013,155425,47,6.4,USA,Short,2013_155425.txt,13864,Yash,n/a,52,n/a,52,7/19/13,41
Side Effects,side effects (2013),2013,147959,12,7.6,USA,Musical,2013_147959.txt,11157,Hum.,"$2,216 ",1,"$2,216 ",1,9/9/05,40
Some Girl(s),Some Girl(s) (2013),2013,159134,3060,4.6,USA,Drama,2013_159134.txt,6644,MGM,"$401,421 ",23,"$11,704 ",2,9/9/88,90
Rush,rush (2013),2013,147081,31,8.1,USA,Short,2013_147081.txt,1525,MGM,"$7,241,350 ",664,"$36,890 ",8,12/20/91,30
World War Z,World War Z (2013),2013,141217,483539,7,USA,Thriller,2013_141217.txt,2903,Par.,"$202,359,711 ","3,607","$66,411,834 ","3,607",6/21/13,123
A Teacher,A Teacher (2013),2013,157246,3320,4.8,USA,Romance,2013_157246.txt,8597,Osci.,"$8,348 ",7,"$4,684 ",2,9/6/13,75
The East,The East (2013),2013,155401,43201,6.8,USA,Thriller,2013_155401.txt,12739,FoxS,"$2,301,839 ",195,"$77,031 ",4,5/31/13,116
Grown Ups 2,Grown Ups 2 (2013),2013,155112,112046,5.4,USA,Comedy,2013_155112.txt,4475,Sony,"$133,668,525 ","3,491","$41,508,572 ","3,491",7/12/13,101
Drinking Buddies,Drinking Buddies (2013),2013,155702,47594,6.1,USA,Romance,2013_155702.txt,4189,Magn.,"$343,341 ",33,"$19,505 ",2,8/23/13,90
Dark Skies,Dark Skies (2013),2013,148758,59741,6.3,USA,Thriller,2013_148758.txt,12719,W/Dim.,"$17,418,667 ","2,313","$8,189,166 ","2,313",2/22/13,97
White House Down,White House Down (2013),2013,149647,170244,6.4,USA,Thriller,2013_149647.txt,8694,Sony,"$73,103,784 ","3,222","$24,852,258 ","3,222",6/28/13,131
Broken City,Broken City (2013),2013,144373,65301,6.2,USA,Thriller,2013_144373.txt,3167,Fox,"$19,701,164 ","2,622","$8,268,908 ","2,620",1/18/13,109
